,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,jason,sir condy
258,,,,5932,60,0.3037550003194786,Category,,Feature,,,,,,,,,,,Subject,,
259,,,,5922,70,0.3043675006271075,Category,,Feature,,,,,,,,,,,Subject,,
260,,,,5991,1,0.17324829112685158,Category,,,Feature,,,,,,,,,,Subject,,
261,,,,5987,5,0.8653833642500844,Category,,,Feature,,,,,,,,,,Subject,,
262,,,,5982,10,1.7181544301196543,Category,,,Feature,,,,,,,,,,Subject,,
263,,,,5977,15,2.5528981536551374,Category,,,Feature,,,,,,,,,,Subject,,
264,,,,5972,20,3.3579186322215997,Category,,,Feature,,,,,,,,,,Subject,,
265,,,,5962,30,4.8511202289605615,Category,,,Feature,,,,,,,,,,Subject,,
266,,,,5952,40,4.58906002712156,Category,,,Feature,,,,,,,,,,Subject,,
267,,,,5942,50,3.8281688883649068,Category,,,Feature,,,,,,,,,,Subject,,
268,,,,5932,60,3.0955203686572825,Category,,,Feature,,,,,,,,,,Subject,,
269,,,,5922,70,2.835749542468951,Category,,,Feature,,,,,,,,,,Subject,,
270,,,,5991,1,0.0062122946331703245,Category,,,,Feature,,,,,,,,,Subject,,
271,,,,5987,5,0.03107618498225787,Category,,,,Feature,,,,,,,,,Subject,,
272,,,,5982,10,0.06218917293001112,Category,,,,Feature,,,,,,,,,Subject,,
273,,,,5977,15,0.09333900272202163,Category,,,,Feature,,,,,,,,,Subject,,
274,,,,5972,20,0.12452571300203732,Category,,,,Feature,,,,,,,,,Subject,,
275,,,,5962,30,0.1870099283977021,Category,,,,Feature,,,,,,,,,Subject,,
276,,,,5952,40,0.23526242327870045,Category,,,,Feature,,,,,,,,,Subject,,
277,,,,5942,50,0.27167337765763216,Category,,,,Feature,,,,,,,,,Subject,,
278,,,,5932,60,0.30410344463387073,Category,,,,Feature,,,,,,,,,Subject,,
279,,,,5922,70,0.31659384855874245,Category,,,,Feature,,,,,,,,,Subject,,
280,,,,5991,1,0.08637430824968755,Category,,,,,Feature,,,,,,,,Subject,,
281,,,,5987,5,0.36581229536308485,Category,,,,,Feature,,,,,,,,Subject,,
282,,,,5982,10,0.6318486665924025,Category,,,,,Feature,,,,,,,,Subject,,
283,,,,5977,15,0.8316129199889299,Category,,,,,Feature,,,,,,,,Subject,,
284,,,,5972,20,1.0049906188778934,Category,,,,,Feature,,,,,,,,Subject,,
285,,,,5962,30,1.3026951296352207,Category,,,,,Feature,,,,,,,,Subject,,
286,,,,5952,40,1.2171662370103686,Category,,,,,Feature,,,,,,,,Subject,,
287,,,,5942,50,1.2226416280696477,Category,,,,,Feature,,,,,,,,Subject,,
288,,,,5932,60,1.2543006374380554,Category,,,,,Feature,,,,,,,,Subject,,
289,,,,5922,70,1.2623319515880356,Category,,,,,Feature,,,,,,,,Subject,,
290,,,,5991,1,0.011422725073482916,Category,,,,,,Feature,,,,,,,Subject,,
291,,,,5987,5,0.05713243430783603,Category,,,,,,Feature,,,,,,,Subject,,
292,,,,5982,10,0.11431178778990658,Category,,,,,,Feature,,,,,,,Subject,,
293,,,,5977,15,0.17153788567388156,Category,,,,,,Feature,,,,,,,Subject,,
294,,,,5972,20,0.2288105491122766,Category,,,,,,Feature,,,,,,,Subject,,
295,,,,5962,30,0.34349483640611217,Category,,,,,,Feature,,,,,,,Subject,,
296,,,,5952,40,0.429603734094392,Category,,,,,,Feature,,,,,,,Subject,,
297,,,,5942,50,0.4902316933931557,Category,,,,,,Feature,,,,,,,Subject,,
298,,,,5932,60,0.5276277645079887,Category,,,,,,Feature,,,,,,,Subject,,
299,,,,5922,70,0.5380301510086283,Category,,,,,,Feature,,,,,,,Subject,,
300,,,,5991,1,0.0062122946331703245,Category,,,,,,,Feature,,,,,,Subject,,
301,,,,5987,5,0.03107618498225787,Category,,,,,,,Feature,,,,,,Subject,,
302,,,,5982,10,0.06218917293001112,Category,,,,,,,Feature,,,,,,Subject,,
303,,,,5977,15,0.09333900272202163,Category,,,,,,,Feature,,,,,,Subject,,
304,,,,5972,20,0.12452571300203732,Category,,,,,,,Feature,,,,,,Subject,,
305,,,,5962,30,0.1870099283977021,Category,,,,,,,Feature,,,,,,Subject,,
306,,,,5952,40,0.22372013136020452,Category,,,,,,,Feature,,,,,,Subject,,
307,,,,5942,50,0.22118167388358817,Category,,,,,,,Feature,,,,,,Subject,,
308,,,,5932,60,0.21458147278268813,Category,,,,,,,Feature,,,,,,Subject,,
309,,,,5922,70,0.21134429141875016,Category,,,,,,,Feature,,,,,,Subject,,
310,,,,5991,1,0.014675763630059584,Category,,,,,,,,Feature,,,,,Subject,,
311,,,,5987,5,0.07071330675451148,Category,,,,,,,,Feature,,,,,Subject,,
312,,,,5982,10,0.13663901479541085,Category,,,,,,,,Feature,,,,,Subject,,
