Subject,t,neg,L_valence,L_trust,L_joy,L_positive,L_dominance,L_arousal,L_anticipation,L_negative,L_sadness,L_fear,L_anger,L_surprise,L_disgust,R_agent_environment,R_agent_person,R_agent_subject,R_agent_nan,R_patient_environment,R_patient_person,R_patient_subject,R_patient_nan,R_unknown
NARRATOR,1041,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1042,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NARRATOR,1050,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
NARRATOR,1059,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1078,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,1086,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,1091,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,1111,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1118,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1132,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,1134,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1154,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,1155,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1172,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1178,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1201,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,1218,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1228,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1241,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1246,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
NARRATOR,1252,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1257,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1262,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
NARRATOR,1269,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1271,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
NARRATOR,1272,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1285,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1292,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
NARRATOR,1297,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
NARRATOR,1302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1305,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1308,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1336,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
NARRATOR,1342,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
NARRATOR,1348,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NARRATOR,1367,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
NARRATOR,1368,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0
NARRATOR,1374,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
NARRATOR,1378,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1386,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1400,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1401,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1403,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,1423,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0
