,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
223,Subject,,,11989,15,12.065459496453704,,,,,,,,,,,,Feature,Category,,,,
224,Subject,,,11984,20,13.075912480989878,,,,,,,,,,,,Feature,Category,,,,
225,Subject,,,11974,30,13.464495444552421,,,,,,,,,,,,Feature,Category,,,,
226,Subject,,,11964,40,1.343696774803017,,,,,,,,,,,,Feature,Category,,,,
227,Subject,,,11954,50,0.32769815608333863,,,,,,,,,,,,Feature,Category,,,,
228,Subject,,,11944,60,0.11660284369790494,,,,,,,,,,,,Feature,Category,,,,
229,Subject,,,11934,70,0.07766610720244703,,,,,,,,,,,,Feature,Category,,,,
230,,Category,Feature,33610,1,0.44093299075750214,,,,,,,,,,,,,,Subject,,,
231,,Category,Feature,33606,5,2.2023513799739374,,,,,,,,,,,,,,Subject,,,
232,,Category,Feature,33601,10,4.386070093255531,,,,,,,,,,,,,,Subject,,,
233,,Category,Feature,33596,15,6.490454141025108,,,,,,,,,,,,,,Subject,,,
234,,Category,Feature,33591,20,8.415538530291455,,,,,,,,,,,,,,Subject,,,
235,,Category,Feature,33581,30,11.460275490742236,,,,,,,,,,,,,,Subject,,,
236,,Category,Feature,33571,40,5.853576158878966,,,,,,,,,,,,,,Subject,,,
237,,Category,Feature,33561,50,2.6801187011001946,,,,,,,,,,,,,,Subject,,,
238,,Category,Feature,33551,60,1.2421599258586564,,,,,,,,,,,,,,Subject,,,
239,,Category,Feature,33541,70,0.9270883397167423,,,,,,,,,,,,,,Subject,,,
240,,,,33610,1,0.6684997390864691,Category,Feature,,,,,,,,,,,,Subject,,,
241,,,,33606,5,3.337204653191849,Category,Feature,,,,,,,,,,,,Subject,,,
242,,,,33601,10,6.644238008002941,Category,Feature,,,,,,,,,,,,Subject,,,
243,,,,33596,15,9.698200883197192,Category,Feature,,,,,,,,,,,,Subject,,,
244,,,,33591,20,12.030181607888824,Category,Feature,,,,,,,,,,,,Subject,,,
245,,,,33581,30,14.274462800828502,Category,Feature,,,,,,,,,,,,Subject,,,
246,,,,33571,40,3.3629264113657436,Category,Feature,,,,,,,,,,,,Subject,,,
247,,,,33561,50,0.8091719928493855,Category,Feature,,,,,,,,,,,,Subject,,,
248,,,,33551,60,0.2159942915541291,Category,Feature,,,,,,,,,,,,Subject,,,
249,,,,33541,70,0.12664080423918514,Category,Feature,,,,,,,,,,,,Subject,,,
250,,,,12003,1,0.8924093579660618,Category,,Feature,,,,,,,,,,,Subject,,,
251,,,,11999,5,4.399650667820485,Category,,Feature,,,,,,,,,,,Subject,,,
