,NER_CARDINAL,NER_DATE,NER_GPE,NER_ORG,NER_PERSON,WN_entity,WN_female,WN_male,WN_person,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t,mention_categ
142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3047,PRON,he,PRP,he,3036,environment
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3062,PRON,him,PRP,him,3036,environment
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3069,DET,his,PRP$,his,3036,environment
145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3083,PRON,he,PRP,he,3036,environment
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,girl,NN,the girl,2791,DET,her,PRP$,her,2770,environment
147,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,NOUN,girl,NN,the girl,2829,NOUN,girl,NN,the girl,2802,person
148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,father,NN,the father of the girl,2826,NOUN,father,NN,the father of the girl,2802,person
149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,father,NN,the father of the girl,2885,NOUN,father,NN,her father,2836,person
150,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,NOUN,mistress,NN,his mistress,2838,NOUN,mistress,NN,his mistress,2836,person
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2847,PRON,she,PRP,she,2836,environment
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2856,PRON,herself,PRP,herself,2836,environment
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2865,PRON,her,PRP,her,2836,environment
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2873,PRON,she,PRP,she,2836,environment
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2885,DET,her,PRP$,her,2836,environment
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his mistress,2909,DET,her,PRP$,her,2894,environment
157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,friend,NN,My generous friend,2894,NOUN,friend,NN,My generous friend,2894,person
158,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,friend,NN,My generous friend,2993,NOUN,friend,NN,my friend,2980,person
159,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,NOUN,woman,NN,the young woman,2966,NOUN,woman,NN,the young woman,2917,person
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,woman,NN,the young woman,2974,DET,her,PRP$,her,2917,environment
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,woman,NN,the young woman,2977,DET,her,PRP$,her,2917,environment
162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,father,NN,the young woman's father,2966,NOUN,father,NN,the young woman's father,2917,person
163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,father,NN,the young woman's father,3001,NOUN,father,NN,the father,2980,person
164,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,NOUN,mistress,NN,his former mistress,3015,NOUN,mistress,NN,his former mistress,2980,person
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mistress,NN,his former mistress,3022,DET,her,PRP$,her,2980,environment
166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,voyage,NN,my voyage,3131,NOUN,voyage,NN,my voyage,3123,environment
167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,voyage,NN,my voyage,3573,NOUN,voyage,NN,my voyage,3546,environment
168,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,voyage,NN,my voyage,3768,NOUN,voyage,NN,our voyage,3732,environment
169,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,winter,NN,The winter,3145,NOUN,winter,NN,The winter,3145,
170,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,winter,NN,The winter,3158,PRON,it,PRP,it,3145,environment
