,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
194,Subject,,,21559,20,8.588482572445338,,,,,,,,,Feature,,,,Category,,,,,,,,
195,Subject,,,21549,30,11.363067427894185,,,,,,,,,Feature,,,,Category,,,,,,,,
196,Subject,,,21539,40,5.496540974593369,,,,,,,,,Feature,,,,Category,,,,,,,,
197,Subject,,,21529,50,2.5464391514429865,,,,,,,,,Feature,,,,Category,,,,,,,,
198,Subject,,,21519,60,1.3430980795414762,,,,,,,,,Feature,,,,Category,,,,,,,,
199,Subject,,,21509,70,1.0626506898403,,,,,,,,,Feature,,,,Category,,,,,,,,
200,Subject,,,21578,1,0.4296235189783745,,,,,,,,,,Feature,,,Category,,,,,,,,
201,Subject,,,21574,5,2.146649117987829,,,,,,,,,,Feature,,,Category,,,,,,,,
202,Subject,,,21569,10,4.278591671005858,,,,,,,,,,Feature,,,Category,,,,,,,,
203,Subject,,,21564,15,6.3323593972894425,,,,,,,,,,Feature,,,Category,,,,,,,,
204,Subject,,,21559,20,8.220773254566756,,,,,,,,,,Feature,,,Category,,,,,,,,
205,Subject,,,21549,30,11.169209178596992,,,,,,,,,,Feature,,,Category,,,,,,,,
206,Subject,,,21539,40,5.762070768103653,,,,,,,,,,Feature,,,Category,,,,,,,,
207,Subject,,,21529,50,2.5664417925989778,,,,,,,,,,Feature,,,Category,,,,,,,,
208,Subject,,,21519,60,1.1264371015158627,,,,,,,,,,Feature,,,Category,,,,,,,,
209,Subject,,,21509,70,0.7986243560066982,,,,,,,,,,Feature,,,Category,,,,,,,,
210,Subject,,,21578,1,0.6736440159548401,,,,,,,,,,,Feature,,Category,,,,,,,,
211,Subject,,,21574,5,3.3677036089269046,,,,,,,,,,,Feature,,Category,,,,,,,,
212,Subject,,,21569,10,6.703262397464937,,,,,,,,,,,Feature,,Category,,,,,,,,
213,Subject,,,21564,15,9.744735292110128,,,,,,,,,,,Feature,,Category,,,,,,,,
214,Subject,,,21559,20,12.040448044642877,,,,,,,,,,,Feature,,Category,,,,,,,,
215,Subject,,,21549,30,14.02226319314986,,,,,,,,,,,Feature,,Category,,,,,,,,
216,Subject,,,21539,40,2.792828453542729,,,,,,,,,,,Feature,,Category,,,,,,,,
217,Subject,,,21529,50,0.4752737750166491,,,,,,,,,,,Feature,,Category,,,,,,,,
218,Subject,,,21519,60,0.09490624252593854,,,,,,,,,,,Feature,,Category,,,,,,,,
219,Subject,,,21509,70,0.05079172265136847,,,,,,,,,,,Feature,,Category,,,,,,,,
220,Subject,,,21578,1,0.4190590175591459,,,,,,,,,,,,Feature,Category,,,,,,,,
221,Subject,,,21574,5,2.093070504003732,,,,,,,,,,,,Feature,Category,,,,,,,,
222,Subject,,,21569,10,4.164231455892612,,,,,,,,,,,,Feature,Category,,,,,,,,
223,Subject,,,21564,15,6.1539156548115574,,,,,,,,,,,,Feature,Category,,,,,,,,
224,Subject,,,21559,20,7.971032400564202,,,,,,,,,,,,Feature,Category,,,,,,,,
225,Subject,,,21549,30,10.78858861095472,,,,,,,,,,,,Feature,Category,,,,,,,,
226,Subject,,,21539,40,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,
227,Subject,,,21529,50,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,
228,Subject,,,21519,60,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,
229,Subject,,,21509,70,1.0305761718513669,,,,,,,,,,,,Feature,Category,,,,,,,,
230,,Category,Feature,21578,1,0.997790201574157,,,,,,,,,,,,,,Subject,,,,,,,
231,,Category,Feature,21574,5,4.9857828946208445,,,,,,,,,,,,,,Subject,,,,,,,
232,,Category,Feature,21569,10,9.933981012756446,,,,,,,,,,,,,,Subject,,,,,,,
233,,Category,Feature,21564,15,13.791122870593854,,,,,,,,,,,,,,Subject,,,,,,,
234,,Category,Feature,21559,20,14.372903239095052,,,,,,,,,,,,,,Subject,,,,,,,
235,,Category,Feature,21549,30,14.395333300897459,,,,,,,,,,,,,,Subject,,,,,,,
236,,Category,Feature,21539,40,0.09115170341545219,,,,,,,,,,,,,,Subject,,,,,,,
237,,Category,Feature,21529,50,0.0,,,,,,,,,,,,,,Subject,,,,,,,
238,,Category,Feature,21519,60,0.0,,,,,,,,,,,,,,Subject,,,,,,,
239,,Category,Feature,21509,70,0.0,,,,,,,,,,,,,,Subject,,,,,,,
240,,,,21578,1,0.4296235189783745,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
241,,,,21574,5,2.146649117987829,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
242,,,,21569,10,4.278591671005858,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
243,,,,21564,15,6.3323593972894425,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
244,,,,21559,20,8.220773254566756,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
245,,,,21549,30,11.169209178596992,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
246,,,,21539,40,5.762070768103653,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
247,,,,21529,50,2.5664417925989778,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
248,,,,21519,60,1.1264371015158627,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
249,,,,21509,70,0.7986243560066982,Category,Feature,,,,,,,,,,,,Subject,,,,,,,
250,,,,21578,1,0.7369961159351097,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
251,,,,21574,5,3.6841907455877214,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
252,,,,21569,10,7.338186685838901,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
253,,,,21564,15,10.628861256102638,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
254,,,,21559,20,12.841234544474245,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
255,,,,21549,30,14.277406903684996,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
256,,,,21539,40,0.0,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
257,,,,21529,50,0.0,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
258,,,,21519,60,0.0,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
259,,,,21509,70,0.005889657182910226,Category,,Feature,,,,,,,,,,,Subject,,,,,,,
260,,,,21578,1,0.4455281359408906,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
261,,,,21574,5,2.2230954869454935,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
262,,,,21569,10,4.425601208404959,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
263,,,,21564,15,6.519021917520446,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
264,,,,21559,20,8.384467385004621,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
265,,,,21549,30,11.16435230712155,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
266,,,,21539,40,5.648985214652881,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
267,,,,21529,50,2.7086935774078547,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
268,,,,21519,60,1.3875693654500687,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
269,,,,21509,70,1.0846537926019664,Category,,,Feature,,,,,,,,,,Subject,,,,,,,
270,,,,21578,1,0.007313385130209421,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
271,,,,21574,5,0.03656765464881725,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
272,,,,21569,10,0.07313710284759992,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
273,,,,21564,15,0.10970829609773466,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
274,,,,21559,20,0.14628118552951536,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
275,,,,21549,30,0.21943185558179773,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
276,,,,21539,40,0.2733795815290822,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
277,,,,21529,50,0.31005285887636247,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
278,,,,21519,60,0.3418796897571599,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
