,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
251,,,,4589,5,0.33752391657313885,Category,,Feature,,,,,,,,,,,Subject,,
252,,,,4584,10,0.6376410871044766,Category,,Feature,,,,,,,,,,,Subject,,
253,,,,4579,15,0.9010959804409321,Category,,Feature,,,,,,,,,,,Subject,,
254,,,,4574,20,1.1166885483913003,Category,,Feature,,,,,,,,,,,Subject,,
255,,,,4564,30,1.4917129218286547,Category,,Feature,,,,,,,,,,,Subject,,
256,,,,4554,40,1.4205183974670554,Category,,Feature,,,,,,,,,,,Subject,,
257,,,,4544,50,1.3867555793979827,Category,,Feature,,,,,,,,,,,Subject,,
258,,,,4534,60,1.41194055110482,Category,,Feature,,,,,,,,,,,Subject,,
259,,,,4524,70,1.4228746543310158,Category,,Feature,,,,,,,,,,,Subject,,
260,,,,4593,1,0.1989679983281255,Category,,,Feature,,,,,,,,,,Subject,,
261,,,,4589,5,0.8947433811898952,Category,,,Feature,,,,,,,,,,Subject,,
262,,,,4584,10,1.6176066662339614,Category,,,Feature,,,,,,,,,,Subject,,
263,,,,4579,15,2.162349516528178,Category,,,Feature,,,,,,,,,,Subject,,
264,,,,4574,20,2.5492847664674527,Category,,,Feature,,,,,,,,,,Subject,,
265,,,,4564,30,3.112944226038184,Category,,,Feature,,,,,,,,,,Subject,,
266,,,,4554,40,2.1751499928982265,Category,,,Feature,,,,,,,,,,Subject,,
267,,,,4544,50,1.850481245718756,Category,,,Feature,,,,,,,,,,Subject,,
268,,,,4534,60,1.7607165961365583,Category,,,Feature,,,,,,,,,,Subject,,
269,,,,4524,70,1.7628120572576902,Category,,,Feature,,,,,,,,,,Subject,,
270,,,,4593,1,0.028036278235323116,Category,,,,Feature,,,,,,,,,Subject,,
271,,,,4589,5,0.13711447995550596,Category,,,,Feature,,,,,,,,,Subject,,
272,,,,4584,10,0.27343409408971053,Category,,,,Feature,,,,,,,,,Subject,,
273,,,,4579,15,0.40551541163561566,Category,,,,Feature,,,,,,,,,Subject,,
274,,,,4574,20,0.533100658809126,Category,,,,Feature,,,,,,,,,Subject,,
275,,,,4564,30,0.787751986649289,Category,,,,Feature,,,,,,,,,Subject,,
276,,,,4554,40,0.9197161817624588,Category,,,,Feature,,,,,,,,,Subject,,
277,,,,4544,50,0.9975442210495059,Category,,,,Feature,,,,,,,,,Subject,,
278,,,,4534,60,1.0592970830456927,Category,,,,Feature,,,,,,,,,Subject,,
279,,,,4524,70,1.0789196125876648,Category,,,,Feature,,,,,,,,,Subject,,
280,,,,4593,1,0.18135067644462471,Category,,,,,Feature,,,,,,,,Subject,,
281,,,,4589,5,0.9033157879533484,Category,,,,,Feature,,,,,,,,Subject,,
282,,,,4584,10,1.7895557091190724,Category,,,,,Feature,,,,,,,,Subject,,
283,,,,4579,15,2.655167092754252,Category,,,,,Feature,,,,,,,,Subject,,
284,,,,4574,20,3.4920118072800554,Category,,,,,Feature,,,,,,,,Subject,,
285,,,,4564,30,5.008504923997905,Category,,,,,Feature,,,,,,,,Subject,,
286,,,,4554,40,4.627436182398342,Category,,,,,Feature,,,,,,,,Subject,,
287,,,,4544,50,3.827915850845119,Category,,,,,Feature,,,,,,,,Subject,,
288,,,,4534,60,3.1026437384363494,Category,,,,,Feature,,,,,,,,Subject,,
289,,,,4524,70,2.8918196826132796,Category,,,,,Feature,,,,,,,,Subject,,
290,,,,4593,1,0.3540221414296686,Category,,,,,,Feature,,,,,,,Subject,,
291,,,,4589,5,1.7620176319748504,Category,,,,,,Feature,,,,,,,Subject,,
292,,,,4584,10,3.4944941299818018,Category,,,,,,Feature,,,,,,,Subject,,
293,,,,4579,15,5.13925027182452,Category,,,,,,Feature,,,,,,,Subject,,
294,,,,4574,20,6.611179500820868,Category,,,,,,Feature,,,,,,,Subject,,
295,,,,4564,30,8.879158508836863,Category,,,,,,Feature,,,,,,,Subject,,
296,,,,4554,40,5.611373246915514,Category,,,,,,Feature,,,,,,,Subject,,
