,NRCw_Em_anger,NRCw_Em_anticipation,NRCw_Em_disgust,NRCw_Em_fear,NRCw_Em_joy,NRCw_Em_negative,NRCw_Em_positive,NRCw_Em_sadness,NRCw_Em_surprise,NRCw_Em_trust,agent,lemma,neg,patient,predicative,text
340,False,False,False,False,False,False,True,False,False,False,,advancement,False,,,advancement
341,False,False,False,False,False,False,True,False,False,False,,profession,False,,,profession
342,False,False,False,False,False,False,True,False,False,True,,professional,False,,,professional
343,True,False,False,False,False,True,False,False,False,False,,prejudice,False,,,prejudices
344,False,False,False,False,False,False,True,False,False,False,,cultivation,False,,,cultivation
345,False,False,False,False,False,False,False,False,False,True,,retain,False,,,retains
346,False,False,False,False,False,False,True,False,False,True,,noble,False,,,noblest
347,False,False,False,False,False,False,True,False,False,True,,endowment,False,,,endowments
348,False,False,False,False,True,False,True,False,False,True,,humanity,False,,,humanity
349,False,True,False,False,False,False,False,False,False,False,,board,False,,,board
350,False,False,False,True,False,True,False,True,False,False,,unemployed,False,,,unemployed
351,False,True,False,False,True,False,True,False,False,True,,engage,False,,,engaged
352,False,False,False,False,False,False,True,False,False,True,,assist,False,,,assist
353,False,False,False,False,False,False,True,False,False,False,,master,False,,,master
354,False,False,False,False,True,False,True,False,False,True,,excellent,False,,,excellent
355,False,False,False,False,True,False,True,False,True,True,,remarkable,False,,,remarkable
356,False,True,False,False,False,False,False,False,False,False,,ship,False,,,ship
357,False,False,False,False,False,False,True,False,False,False,,gentleness,False,,,gentleness
358,False,False,False,True,False,True,False,False,False,False,,discipline,False,,,discipline
359,False,False,False,False,False,False,True,False,False,True,,integrity,False,,,integrity
360,False,False,False,False,False,False,True,False,False,False,,courage,False,,,courage
361,False,False,False,False,False,False,True,False,False,False,,desirous,False,,,desirous
362,True,True,False,True,True,False,True,False,True,False,,youth,False,,,youth
363,False,True,False,False,True,False,True,False,True,True,,good,False,,,best
364,False,False,False,False,False,True,False,False,False,False,,spend,False,,,spent
365,False,False,False,False,False,False,True,False,False,False,,refine,False,,,refined
366,False,False,False,False,False,False,True,False,False,False,,groundwork,False,,,groundwork
367,True,False,True,True,True,True,True,False,True,True,,intense,False,,,intense
368,False,False,True,False,False,True,False,False,False,False,,distaste,False,,,distaste
369,False,False,False,False,False,False,True,False,False,True,,usual,False,,,usual
370,True,False,False,True,False,True,False,False,False,False,,brutality,False,,,brutality
371,False,True,False,False,False,False,False,False,False,False,,board,False,,,board
372,False,True,False,False,False,False,False,False,False,False,,ship,False,,,ship
373,False,False,False,False,False,False,False,False,False,True,,believe,True,,,believed
374,False,False,False,False,False,False,True,False,False,False,,equally,False,,,equally
375,False,False,False,False,False,False,True,False,False,False,,note,False,,,noted
376,False,True,False,False,True,False,True,False,False,True,,respect,False,,,respect
377,False,False,False,False,False,False,True,False,False,True,,obedience,False,,,obedience
378,False,True,False,False,True,False,True,False,False,True,,pay,False,,,paid
379,False,False,False,False,False,False,False,False,False,True,,crew,False,,,crew
380,False,False,False,False,False,False,True,False,False,False,,fortunate,False,,,fortunate
381,False,True,False,False,True,False,True,False,False,True,,romantic,False,,,romantic
382,False,True,False,False,True,False,True,False,False,False,,happiness,False,,,happiness
383,False,False,False,False,True,False,True,False,False,False,the father of the girl,love,False,the father of the girl,,loved
384,False,True,False,False,True,False,True,False,True,False,,young,False,,,young
385,False,False,False,False,False,False,True,False,False,False,,moderate,False,,,moderate
